   GoodVibes v3.0.1 2020/02/18 17:41:38
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --spc DLPNO --pes PhPy.yaml --graph PhPy.yaml -t 353.15 --imag --invertifreq -5 --media ethanol -c 1 

   Temperature = 353.15 Kelvin   Concentration = 1.0 mol/L
   All energetic values below shown in Hartree unless otherwise specified.

   Using vibrational scale factor 1.0 for wB97XD/6-31+G(d) level of theory

   Caution! Implicit solvation (SMD/CPCM) detected. Enthalpic and entropic terms cannot be safely separated. Use them at your own risk!

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964

   Combining final single point energy with thermal corrections.
   Applying standard concentration correction (based on density at 20C) to solvent media.

   The following frequency was made positive and used in calculations: -2.8981 from Int_II_Py_b.log

   Structure                                       E_SPC             E        ZPE         H_SPC        T.S     T.qh-S      G(T)_SPC   qh-G(T)_SPC  im freq
o  TS_II_Py_b                               -1414.235758  -1415.731725   0.418091  -1413.784725   0.097484   0.091865  -1413.882209  -1413.876590  -239.51
o  ethanol                                   -154.891369   -155.005428   0.080785   -154.803953   0.030818   0.030822   -154.834771   -154.834775  Solvent: 17.13M 
   *******************************************************************************************************************************************************

   Gconf correction requested to be applied to below relative values using quasi-harmonic Boltzmann factors

   RXN: Ph (kcal/mol)                             DE_SPC            DE       DZPE        DH_SPC       T.DS    T.qh-DS      DG(T)_SPC   qh-DG(T)_SPC
   *******************************************************************************************************************************************************
o  Ph-Int1                                          0.00          0.00       0.00          0.00       0.00       0.00          0.00          0.00
o  Ph-TS1                                          23.56         23.54      -1.55         21.98      -0.31      -0.33         22.29         22.31
o  Ph-Int2                                        -12.29        -14.14      -0.57        -12.55       0.94       0.31        -13.49        -12.86
o  Ph-TS2                                          -8.13        -12.17      -1.34         -9.45       0.52      -0.10         -9.97         -9.35
o  Ph-Int3                                        -33.59        -37.61      -0.57        -33.55       3.05       1.56        -36.61        -35.11
   *******************************************************************************************************************************************************

   RXN: Py (kcal/mol)                             DE_SPC            DE       DZPE        DH_SPC       T.DS    T.qh-DS      DG(T)_SPC   qh-DG(T)_SPC
   *******************************************************************************************************************************************************
o  Py-Int1                                          0.00          0.00       0.00          0.00       0.00       0.00          0.00          0.00
o  Py-TS1                                          15.08         16.52      -1.20         13.83      -0.43      -0.46         14.27         14.29
o  Py-Int2                                        -17.45        -18.19      -0.55        -17.59       3.38       1.62        -20.97        -19.21
o  Py-TS2                                          -9.59        -13.17      -0.97        -10.61       0.35      -0.22        -10.96        -10.39
o  Py-Int3                                        -29.39        -33.24      -0.70        -29.44       3.60       1.91        -33.04        -31.35
   *******************************************************************************************************************************************************

   Graphing Reaction Profile
